line,station,pm25,longitude,latitude
Victoria,Brixton,374,-0.114630326034099,51.4625850090048
Victoria,Euston,186,-0.133285003609594,51.5285920006576
Victoria,Finsbury Park,468,-0.106511568608855,51.5644026557901
Victoria,Green Park,308,-0.14292070761651,51.506848212113
Victoria,Highbury & Islington,378,-0.103963256648364,51.5462326432576
Victoria,King's Cross St. Pancras,196,-0.12385439526953,51.5303929190998
Victoria,Oxford Circus,296,-0.141762740053752,51.5151209634782
Victoria,Pimlico,460,-0.133742297293802,51.4891940528192
Victoria,Seven Sisters,305,-0.0724960511324448,51.5833535398407
Victoria,Stockwell,639,-0.122903492778503,51.472168973557
Victoria,Vauxhall,481,-0.123743588072039,51.4857342278684
Victoria,Victoria,253,-0.143852003214913,51.4963417077255
Victoria,Warren Street,298,-0.138266856304429,51.5245076509584
Piccadilly,Acton Town,54,-0.280257274070714,51.5027466033931
Piccadilly,Arnos Grove,50,-0.133514422569791,51.6163438111851
Piccadilly,Arsenal,166,-0.105761301182304,51.558500471385
Piccadilly,Barons Court,67,-0.213605705235308,51.4901590780153
Piccadilly,Boston Manor,48,-0.324764216990979,51.4956933187823
Piccadilly,Bounds Green,109,-0.124218138791558,51.6070863396426
Piccadilly,Caledonian Road,119,-0.118309786724486,51.5484239879656
Piccadilly,Cockfosters,44,-0.149612422080672,51.6516867345507
Piccadilly,Covent Garden,132,-0.124154958766684,51.5129072865501
Piccadilly,Earl's Court,105,-0.193547083566538,51.4918031725385
Piccadilly,Finsbury Park,161,-0.106511568608855,51.5644026557901
Piccadilly,Gloucester Road,147,-0.182992073518021,51.4942389349944
Piccadilly,Green Park,144,-0.14292070761651,51.506848212113
Piccadilly,Hammersmith,54,-0.222399662053271,51.4925677962556
Piccadilly,Hatton Cross,44,-0.423411811341488,51.4666131033507
Piccadilly,Heathrow Terminal 4,47,-0.446058285582061,51.4585526060395
Piccadilly,"Heathrow Terminals 1, 2, 3",50,-0.452438430101766,51.4712171442356
Piccadilly,Holborn,128,-0.120005211266556,51.5174360252702
Piccadilly,Holloway Road,163,-0.112923884267074,51.5527527919488
Piccadilly,Hounslow Central,48,-0.366917192974204,51.4710824152007
Piccadilly,Hounslow East,47,-0.356691356173255,51.4731696515944
Piccadilly,Hounslow West,44,-0.385738941643743,51.4730335874082
